"gid","name","area","status","date_create","description","polygon","type_land"
11,"9",NULL,NULL,"2024-02-11 00:26:29.853372+03","Участок №-2865","0106000020E6100000010000000103000000010000000B000000BC033C69E158474085EFFD0DDA414E40ED629AE95E59474015FE0C6FD6444E405B5CE333D9594740C66E9F5566444E40BABC395CAB5B47408FC536A968444E4090F5D4EAAB5B4740B267CF656A444E406A847EA65E5B4740CD1FD3DA34424E4037548CF3375B4740FDA36FD234424E400725CCB4FD594740FB5A971AA1414E4037C7B94DB859474059A4897780414E40670B08AD875947405589B2B794414E40BC033C69E158474085EFFD0DDA414E40",1
12,"10",NULL,NULL,"2024-01-02 12:51:28.192544+03","Участок №635","0106000020E610000001000000010300000001000000100000006A847EA65E5B4740CD1FD3DA34424E4090F5D4EAAB5B4740B267CF656A444E40717495EEAE5B4740018A912573444E409755D80C705D47405D4E098849444E408B1A4CC3F05D4740B5F97FD591454E4081CF0F23845B4740C93A1C5DA5454E408EC87729755B4740EAAEEC82C1454E401F680586AC5C47405DFE43FAED454E40EBA9D557575D47403E42CD902A464E40C9569753025E474090F9804067464E40D4B661140461474061342BDB87464E40F0A31AF67B60474036C8242367454E40E6B2D1393F5F4740815CE2C803434E40FDF9B660A95E4740658EE55DF5424E409F776341615E474032E5435035424E406A847EA65E5B4740CD1FD3DA34424E40",2
13,"11",NULL,NULL,"2024-01-04 21:17:06.383645+03","Участок №238","0106000020E61000000100000001030000000100000011000000F0A31AF67B60474036C8242367454E40D4B661140461474061342BDB87464E40A8C64B37896147408EE89E758D464E4042EE224C516247402A7288B839474E40A54DD53DB2634740C2A1B77878474E4069E4F38AA7644740B9C3263273474E400648348122664740707A17EFC7474E40AF997CB3CD65474000750305DE474E40C289E8D7D6654740EBC4E57805484E4013D38558FD654740674815C5AB484E40F3716DA8186747404510E7E104484E40CD1FD3DA34664740707841446A464E40758E01D9EB6547400DA837A3E6454E406ADD06B5DF664740172AFF5A5E454E40FAB660A92E6647401D56B8E523454E40DF6A9DB81C6547405704FF5BC9444E40F0A31AF67B60474036C8242367454E40",3
14,"12",NULL,NULL,"2023-12-29 20:02:34.177049+03","Участок №633","0106000020E61000000100000001030000000100000007000000E6B2D1393F5F4740815CE2C803434E40F0A31AF67B60474036C8242367454E40DF6A9DB81C6547405704FF5BC9444E409D9E776341614740C3F2E7DB82434E4020D5B0DF1361474030F488D173434E40A053909F8D604740BE4D7FF623434E40E6B2D1393F5F4740815CE2C803434E40",2
15,"29",NULL,NULL,"2023-12-05 22:15:31.391908+03","Участок №-89","0106000020E61000000100000001030000000100000010000000C2A4F8F8844A47404E62105839404E40AC0320EEEA4B47402992AF0452404E402655DB4DF04B47401DE4F56052404E4000CADFBDA34C474012F6ED2422404E40F31C91EF524E47409A0645F300404E40831953B0C64F474014CD0358E43F4E4088687407B14F4740EC8502B6833F4E40AD8A7093514F47405C3AE63C633F4E4006D50627A24D474043E55FCB2B3F4E4044300E2E1D4D4740944C4EED0C3F4E40D8648D7A884C4740064CE0D6DD3E4E401AC39CA04D4C47406326512FF83E4E4091B932A8364C4740ED9DD156253F4E4076C6F7C5A54A474082531F48DE3F4E405B94D920934A47404B766C04E23F4E40C2A4F8F8844A47404E62105839404E40",3
16,"27",NULL,NULL,"2023-11-27 00:17:25.592885+03","Участок №-1424","0106000020E61000000100000001030000000100000007000000AC0320EEEA4B47402992AF0452404E403DF19C2D204C4740AF94658863414E4069AA27F38F4E4740390D51853F414E40F31C91EF524E47409A0645F300404E4000CADFBDA34C474012F6ED2422404E402655DB4DF04B47401DE4F56052404E40AC0320EEEA4B47402992AF0452404E40",1
17,"23",NULL,NULL,"2023-12-14 23:53:28.426881+03","Участок №-454","0106000020E610000001000000010300000001000000080000003DF19C2D204C4740AF94658863414E40A417B5FB554C4740A5A2B1F677424E409F5912A0A64C474069AB92C83E424E40D0D38041D24D47403D65355D4F424E40DBDC989EB04E474072C3EFA65B424E405B087250C24E47406B64575A46424E4069AA27F38F4E4740390D51853F414E403DF19C2D204C4740AF94658863414E40",2
18,"25",NULL,NULL,"2024-01-22 07:31:32.519379+03","Участок №336","0106000020E6100000010000000103000000010000000D000000DB87BCE5EA4547406CCCEB8843404E40A306D3307C4647402E1A321EA5404E402254A9D90347474000016BD5AE414E40B5FF01D6AA494740A9FA95CE87414E40C90050C58D494740529E7939EC404E404C512E8D5F484740C1525DC0CB404E4064744012F647474014048F6FEF404E4009FCE1E7BF474740232C2AE274404E40B857E6ADBA484740EEEBC03923404E400E2C47C8404847405BD07B6308404E40304AD05FE8474740E886A6ECF43F4E404D86E3F90C46474001BF469220404E40DB87BCE5EA4547406CCCEB8843404E40",2
19,"20",NULL,NULL,"2024-01-03 01:11:36.328411+03","Участок №842","0106000020E6100000010000000103000000010000000F00000030478FDFDB444740B3D0CE6916444E40C5025FD1AD474740C18F6AD8EF434E403AADDBA0F6474740481B47ACC5434E409162804413484740A3E5400FB5434E4038842A357B484740DA73999A04434E408AE42B8194484740ADA23F34F3424E404CDF6B088E474740747CB43863424E4068B114C95746474060E5D022DB434E40C991CEC0C84547404E0CC9C9C4434E4080D591239D454740AF43352559434E403A5AD5928E44474015AB06616E434E4043C70E2A7143474006A051BAF4434E4028D4D347E0434740CE1951DA1B444E40BE66B96C744447406F1283C0CA434E4030478FDFDB444740B3D0CE6916444E40",2
20,"28",NULL,NULL,"2024-01-26 21:52:54.262075+03","Участок №-1332","0106000020E61000000100000001030000000100000007000000F31C91EF524E47409A0645F300404E4069AA27F38F4E4740390D51853F414E40EE073C308050474071E481C822414E40768D96033D504740C9E6AA798E404E40F27B9BFEEC4F4740F279C5538F404E40831953B0C64F474014CD0358E43F4E40F31C91EF524E47409A0645F300404E40",1
21,"24",NULL,NULL,"2023-11-22 16:05:01.440935+03","Участок №-254","0106000020E6100000010000000103000000010000000700000069AA27F38F4E4740390D51853F414E405B087250C24E47406B64575A46424E40304CA60A464F4740E02EFB75A7414E401FF64201DB4F47405D50DF32A7414E40172CD505BC50474069FE98D6A6414E40EE073C308050474071E481C822414E4069AA27F38F4E4740390D51853F414E40",2
22,"26",NULL,NULL,"2023-11-30 09:22:27.892973+03","Участок №-1307","0106000020E61000000100000001030000000100000007000000C90050C58D494740529E7939EC404E40B5FF01D6AA494740A9FA95CE87414E403DF19C2D204C4740AF94658863414E40AC0320EEEA4B47402992AF0452404E40C2A4F8F8844A47404E62105839404E400E83F92B644A47407B9FAA4203414E40C90050C58D494740529E7939EC404E40",2
23,"22",NULL,NULL,"2024-01-29 05:58:23.126246+03","Участок №-1286","0106000020E6100000010000000103000000010000000B000000B5FF01D6AA494740A9FA95CE87414E40EC6D3315E2494740EE7BD45FAF424E40ED832C0B264A4740925A28999C424E40FE9C82FC6C4A4740B477465B95424E400B613596B04A4740E71C3C139A424E40B401D880084B4740EA094B3CA0424E4056664AEB6F4B474088484DBB98424E40F67EA31D374C474052B648DA8D424E40A417B5FB554C4740A5A2B1F677424E403DF19C2D204C4740AF94658863414E40B5FF01D6AA494740A9FA95CE87414E40",1
24,"21",NULL,NULL,"2023-11-24 13:13:01.806451+03","Участок №747","0106000020E6100000010000000103000000010000000B0000002254A9D90347474000016BD5AE414E40A208A9DBD94747407FDAA84E07424E404CDF6B088E474740747CB43863424E408AE42B8194484740ADA23F34F3424E404E7E8B4E96484740C0417BF5F1424E407D59DAA9B94847404033880FEC424E404852D2C3D04847403621AD31E8424E408F54DFF945494740A2EE0390DA424E40EC6D3315E2494740EE7BD45FAF424E40B5FF01D6AA494740A9FA95CE87414E402254A9D90347474000016BD5AE414E40",2
25,"16",NULL,NULL,"2023-12-06 04:39:52.565356+03","Участок №95","0106000020E6100000010000000103000000010000000D000000946934B9184347400971E5EC9D454E4059349D9D0C444740289B728577454E40DC68006F814447404D4D8237A4454E403F8EE6C8CA454740F38E537424454E401E53776517464740FED478E926454E40BC9179E40F464740124BCADDE7444E40ABECBB22F84547409C1A683EE7444E408869DFDC5F454740EBAA402D06454E40910BCEE0EF4347408BA9F413CE444E40DE205A2BDA424740F8359204E1444E40AC02B5183C4247406A34B91803454E400B96EA025E424740C824236761454E40946934B9184347400971E5EC9D454E40",2
26,"18",NULL,NULL,"2024-01-25 09:07:14.207761+03","Участок №-1313","0106000020E61000000100000001030000000100000007000000EA2285B2F04947402B31CF4A5A454E40782975C9384A47400D384BC972464E40465F419AB14A474014D1AFAD9F464E40C2DCEEE53E4B4740ED2AA4FCA4464E40C8B4368DED4B47405E82531F48464E402D5DC136E24B4740F645425BCE454E40EA2285B2F04947402B31CF4A5A454E40",2
27,"19",NULL,NULL,"2023-11-22 05:10:42.597749+03","Участок №-278","0106000020E6100000010000000103000000010000000C00000030478FDFDB444740B3D0CE6916444E40B6662B2FF9454740E9B7AF03E7444E40ABECBB22F84547409C1A683EE7444E40BC9179E40F464740124BCADDE7444E401E53776517464740FED478E926454E40AAB8718BF9474740F698486936454E405116BEBED647474059DAA9B9DC444E40611BF16437474740C66D3480B7444E40D009A1832E4747403DF19C2D20444E406F641EF98347474037FA980F08444E40C5025FD1AD474740C18F6AD8EF434E4030478FDFDB444740B3D0CE6916444E40",3
28,"17",NULL,NULL,"2024-02-06 12:16:20.032351+03","Участок №-1698","0106000020E6100000010000000103000000010000000A0000005116BEBED647474059DAA9B9DC444E40AAB8718BF9474740F698486936454E40B18BA2073E484740662D05A4FD454E4027D87F9D9B484740B2B96A9E23464E40F6B3588AE449474052D4997B48464E408A03E8F7FD49474030A017EE5C464E40782975C9384A47400D384BC972464E40EA2285B2F04947402B31CF4A5A454E4003D2FE0758494740797764AC36454E405116BEBED647474059DAA9B9DC444E40",3
29,"31",NULL,NULL,"2023-12-23 02:34:47.172139+03","Участок №-1373","0106000020E6100000010000000103000000010000000500000082BD5D9AD9644740CE598BDC682E4E409DF6B8149F6B47401203E7E4C62D4E40505886F5226947404BB3772E112C4E40C47B0E2C47644740E370E657732C4E4082BD5D9AD9644740CE598BDC682E4E40",2
30,"30",NULL,NULL,"2024-01-31 06:50:56.302655+03","Участок №-1580","0106000020E6100000010000000103000000010000000E00000003239FFF80614740A7C3A440312E4E405E3C1C54A5614740F8B16A7D0C2E4E40301EC009E0634740C0A0F82D802E4E4082BD5D9AD9644740CE598BDC682E4E40C47B0E2C47644740E370E657732C4E4081936DE00E5E4740342DB1321A2D4E404D124BCADD5D4740E17A14AE472D4E40850B7904375E4740691CEA77612D4E40D097DEFE5C5E4740E5F21FD26F2D4E409775FF58885E474024809BC58B2D4E40BC96900F7A5E4740AC38D55A982D4E40C68B8521725E474052F355F2B12D4E40170FEF39B0604740E658DE550F2E4E4003239FFF80614740A7C3A440312E4E40",1
31,"33",NULL,NULL,"2024-02-13 19:44:06.050083+03","Участок №-400","0106000020E61000000100000001030000000100000008000000505886F5226947404BB3772E112C4E40F8390D8FC068474088C30379CD2B4E407F717D9D42674740A2C00FE1BB2A4E4037279151D965474018FC41A0E8294E405281936DE06447400A12DBDD032A4E40D6A9F23D23634740AA49F086342A4E40C47B0E2C47644740E370E657732C4E40505886F5226947404BB3772E112C4E40",2
32,"32",NULL,NULL,"2023-11-21 06:14:23.757388+03","Участок №-1295","0106000020E6100000010000000103000000010000000900000081936DE00E5E4740342DB1321A2D4E40C47B0E2C47644740E370E657732C4E40D6A9F23D23634740AA49F086342A4E40DD7C23BA676147400892770E652A4E40761893FE5E60474093AAED26F82A4E40857B65DEAA5F47406FF085C9542B4E403F00A94D9C5E474064062AE3DF2B4E401F2DCE18E65E4740B22D03CE522C4E4081936DE00E5E4740342DB1321A2D4E40",1
33,"34",NULL,NULL,"2023-12-22 09:31:13.455799+03","Участок №-1136","0106000020E6100000010000000103000000010000000B000000761893FE5E60474093AAED26F82A4E40DD7C23BA676147400892770E652A4E40D6A9F23D23634740AA49F086342A4E405281936DE06447400A12DBDD032A4E40B329577897634740BB99D18F86274E407C0BEBC6BB614740153C855CA9274E4012DA722EC5614740F8C43A55BE274E4051F4C0C76061474073F6CE68AB284E400874266DAA6047406D3A02B8592A4E402FDFFAB0DE6047406DAE9AE7882A4E40761893FE5E60474093AAED26F82A4E40",2
34,"42",NULL,NULL,"2024-01-19 20:38:13.258875+03","Участок №-1885","0106000020E6100000010000000103000000010000000600000086E138F735644740C6CED762B1214E4038EBA57CE4634740BC01F49551214E400A9565DA4A614740B260218B261E4E40A779C7293A604740A8902BF52C1E4E4089B2B794F3614740787B1002F2214E4086E138F735644740C6CED762B1214E40",2
35,"35",NULL,NULL,"2023-12-18 07:24:27.213304+03","Участок №715","0106000020E6100000010000000103000000010000000600000037279151D965474018FC41A0E8294E40B2AE7C4306654740FB9C6A386D294E40AA9AB2EAC16647400D7AE5AF4C274E40B329577897634740BB99D18F86274E405281936DE06447400A12DBDD032A4E4037279151D965474018FC41A0E8294E40",2
36,"36",NULL,NULL,"2023-12-23 20:38:32.183329+03","Участок №205","0106000020E61000000100000001030000000100000007000000AA9AB2EAC16647400D7AE5AF4C274E40BFE1149ED0674740D5AADD6E00264E4004A9143B1A61474098FBE42840264E40912A8A5759614740D2890453CD264E407C0BEBC6BB614740153C855CA9274E40B329577897634740BB99D18F86274E40AA9AB2EAC16647400D7AE5AF4C274E40",3
37,"37",NULL,NULL,"2024-01-25 08:23:42.620776+03","Участок №-2710","0106000020E61000000100000001030000000100000006000000BFE1149ED0674740D5AADD6E00264E4041220C33D8674740C0A98D20F7254E40D67F62D0206647406158CA82F2234E40FAF02C4146604740297B4B395F244E4004A9143B1A61474098FBE42840264E40BFE1149ED0674740D5AADD6E00264E40",3
38,"38",NULL,NULL,"2023-12-28 01:18:07.171218+03","Участок №-40","0106000020E61000000100000001030000000100000008000000D67F62D0206647406158CA82F2234E4086E138F735644740C6CED762B1214E4089B2B794F3614740787B1002F2214E409B012EC8965F47404450357A35224E4016FC36C4785F47401310937021234E40E50D30F31D604740849D62D520244E40FAF02C4146604740297B4B395F244E40D67F62D0206647406158CA82F2234E40",2
39,"39",NULL,NULL,"2024-01-13 09:29:58.580617+03","Участок №217","0106000020E61000000100000001030000000100000009000000971AA19FA95347400002D6AA5D214E4047C7D5C8AE5447408B70935165244E4049BE1248895547407FBC57AD4C244E401E1840F850564740E3C4573B8A234E40EF004F5AB85647400C59DDEA39234E40081EDFDE355847402DD1596611224E40AA0D4E44BF584740185C7347FF214E40A8902BF52C584740A7AD11C138204E40971AA19FA95347400002D6AA5D214E40",3
40,"41",NULL,NULL,"2024-02-02 10:42:34.335993+03","Участок №-470","0106000020E61000000100000001030000000100000009000000672AC423F15C4740B7D100DE021F4E40D9EE1EA0FB5C47407555A01683214E4060ADDA35215D4740BD5296218E214E400A9FAD83835D47408F368E588B214E40828FC18A535F4740D13C80457E214E409B012EC8965F47404450357A35224E4089B2B794F3614740787B1002F2214E40A779C7293A604740A8902BF52C1E4E40672AC423F15C4740B7D100DE021F4E40",2
41,"40",NULL,NULL,"2024-01-28 03:39:04.61134+03","Участок №-502","0106000020E61000000100000001030000000100000007000000A8902BF52C584740A7AD11C138204E40AA0D4E44BF584740185C7347FF214E40EBE0606F625A47401172DEFFC7214E40C6A70018CF5C474088D7F50B76214E40D9EE1EA0FB5C47407555A01683214E40672AC423F15C4740B7D100DE021F4E40A8902BF52C584740A7AD11C138204E40",2
42,"5",NULL,NULL,"2024-01-29 19:49:44.507609+03","Участок №-425","0106000020E6100000010000000103000000010000000A000000698EACFC325047400D1AFA27B84A4E404643C6A35450474050FBAD9D284B4E408672A25D85544740C269C18BBE4A4E400C7558E19655474087C5A86BED494E40A9A3E36A64574740D7F9B7CB7E494E40F4A3E194B9574740179F02603C494E400934D8D479564740C0779B374E484E40F88898124956474063D2DF4BE1474E40E5B512BA4B5647404679E6E5B0474E40698EACFC325047400D1AFA27B84A4E40",1
43,"1",NULL,NULL,"2023-12-15 18:27:07.518625+03","Участок №-184","0106000020E610000001000000010300000001000000120000008B6B7C26FB09474043723271AB584E40C669882AFC094740978BF84ECC584E401618B2BAD5094740207EFE7BF0584E4083A3E4D5390A474062156F641E594E40A5846055BD0A4740ACFF73982F594E40BF99982EC40A4740FC8F4C874E594E4031CD74AF930A47409C69C2F693594E404E603AADDB0A474002284696CC594E40842A357BA00B4740D34CF73AA9594E403067B62BF40B4740DA71C3EFA6594E40871403249A0C4740F850A2258F594E40594DD7135D0D47405B0C1EA67D594E4079793A57940C4740FAF202ECA3574E40B682A625560C4740E1EEACDD76574E400AF83592040B47407DE71725E8574E40E659492BBE094740AE8218E8DA574E40280EA0DFF709474031CEDF8442584E408B6B7C26FB09474043723271AB584E40",2
44,"2",NULL,NULL,"2024-01-08 03:20:59.800316+03","Участок №-2477","0106000020E6100000010000000103000000010000000B000000B682A625560C4740E1EEACDD76574E4079793A57940C4740FAF202ECA3574E40594DD7135D0D47405B0C1EA67D594E408B71FE26140E47406F47382D78594E400518963FDF0E4740132C0E677E594E401157CEDE190F47408EE55DF580594E40F6234564580F47403EB324404D594E40E9F2E670AD0E4740A29927D714584E404BE9995E620E4740FF976BD102584E4009C556D0B40C47404F58E20165574E40B682A625560C4740E1EEACDD76574E40",1
45,"86",NULL,NULL,"2024-01-25 13:39:20.101035+03","Участок №-2195","0106000020E61000000100000001030000000100000005000000779E78CE161447401F300F99F23B4E408FC4CBD3B9144740A25F5B3FFD3D4E407C9DD497A51947404165FCFB8C3D4E4020B8CA1308194740DCF0BBE9963B4E40779E78CE161447401F300F99F23B4E40",1
46,"126",NULL,NULL,"2023-11-20 23:14:59.330678+03","Участок №-2256","0106000020E61000000100000001030000000100000006000000079ACFB9DB1947405D3123BC3D2E4E407C2766BD181A47407D073F71002F4E4087FD9E58A71A47407094BC3AC7304E40F3E846585420474009DD257156304E407EFFE6C5891F4740BB0D6ABFB52D4E40079ACFB9DB1947405D3123BC3D2E4E40",2
47,"166",NULL,NULL,"2024-02-07 02:05:31.099347+03","Участок №-291","0106000020E61000000100000001030000000100000005000000981936CAFA1B474025EA059FE6244E401C412AC58E1C47403E062B4EB5264E401F2FA4C34322474012A3E716BA264E401B8524B37A214740F48AA71E69244E40981936CAFA1B474025EA059FE6244E40",3
48,"177",NULL,NULL,"2023-11-18 22:00:32.858408+03","Участок №779","0106000020E61000000100000001030000000100000016000000D36C1E87C1204740022D5DC136224E401B8524B37A214740F48AA71E69244E40F31FD26F5F234740919C4CDC2A244E405725917D90234740A2D3F36E2C244E4049DBF81395234740FED137691A244E407A354069A8234740861C5BCF10244E40E355D636C5234740D789CBF10A244E40F2D24D62102447409CDCEF5014244E40223317B83C2447404982700514244E406666666666244740E49F19C407244E40A11342075D2447408C82E0F1ED234E40D50968226C244740D6C4025FD1234E409161156F6424474061DF4E22C2234E403CD9CD8C7E244740EB7420EBA9234E40A1F5F065A2244740C1C41F459D234E40F73C7FDAA824474059A4897780234E4018EB1B98DC24474016C26A2C61234E40C095ECD808244740B83A00E2AE224E4080B74082E2234740CAA8328CBB214E40D7DB662AC4234740914259F8FA204E40B323D5777E2147409ACC785BE9214E40D36C1E87C1204740022D5DC136224E40",2
49,"176",NULL,NULL,"2023-12-31 02:35:34.148813+03","Участок №-2172","0106000020E61000000100000001030000000100000007000000E542E55FCB1B4740FF791A3048244E40981936CAFA1B474025EA059FE6244E401B8524B37A214740F48AA71E69244E40D36C1E87C1204740022D5DC136224E40DCF126BF451F47405721E527D5224E40AB5B3D27BD1D4740E6779ACC78234E40E542E55FCB1B4740FF791A3048244E40",3
50,"165",NULL,NULL,"2023-11-30 00:20:09.087896+03","Участок №-2047","0106000020E6100000010000000103000000010000000F0000000ED940BAD8164740130CE71A66264E40266F8099EF164740EAAF575870274E40C51A2E724F1747404AB20E4757274E40ED0DBE309918474023BC3D0801274E40B5A7E49CD819474043C879FF1F274E40D1066003221A4740BA9EE8BAF0274E40CB2DAD86C41B474083893F8A3A274E4037397CD2891C474084471B47AC274E40FF092E56D41C4740F3936A9F8E274E401C412AC58E1C47403E062B4EB5264E40981936CAFA1B474025EA059FE6244E40E542E55FCB1B4740FF791A3048244E40F10EF0A485194740BBB7223141254E40DBC35E2860174740EF703B342C264E400ED940BAD8164740130CE71A66264E40",2
